time_ms,target_speed,measured_speed,pwm,motion_flag,host_monotonic,frame_index,host_time
2.0,0.0,0.0,0.0,127.0,1533.199570289,1,2026-05-21T02:15:42.160512+00:00
63.0,0.0,0.0,0.0,127.0,1533.210696168,2,2026-05-21T02:15:42.171642+00:00
124.0,0.0,0.0,0.0,127.0,1533.221648048,3,2026-05-21T02:15:42.182589+00:00
185.0,0.0,0.0,0.0,127.0,1533.232878807,4,2026-05-21T02:15:42.193806+00:00
247.0,0.0,0.0,0.0,127.0,1533.244946345,5,2026-05-21T02:15:42.205872+00:00
309.0,0.0,0.0,0.0,127.0,1533.257080759,6,2026-05-21T02:15:42.218006+00:00
371.0,0.0,0.0,0.0,127.0,1533.269656251,7,2026-05-21T02:15:42.230570+00:00
435.0,0.0,0.0,0.0,127.0,1533.2829971,8,2026-05-21T02:15:42.243919+00:00
498.0,0.0,0.0,0.0,127.0,1533.295855333,9,2026-05-21T02:15:42.256785+00:00
560.0,0.0,0.0,0.0,127.0,1533.307711641,10,2026-05-21T02:15:42.268645+00:00
621.0,0.0,0.0,0.0,127.0,1533.319464769,11,2026-05-21T02:15:42.280392+00:00
684.0,0.0,0.0,0.0,127.0,1533.331707112,12,2026-05-21T02:15:42.292618+00:00
748.0,0.0,0.0,0.0,127.0,1533.34573474,13,2026-05-21T02:15:42.306655+00:00
811.0,0.0,0.0,0.0,127.0,1533.359438788,14,2026-05-21T02:15:42.320347+00:00
874.0,0.0,0.0,0.0,127.0,1533.371901356,15,2026-05-21T02:15:42.332836+00:00
936.0,0.0,0.0,0.0,127.0,1533.383914009,16,2026-05-21T02:15:42.344848+00:00
998.0,0.0,0.0,0.0,127.0,1533.396156621,17,2026-05-21T02:15:42.357087+00:00
1061.0,0.0,0.0,0.0,127.0,1533.408887022,18,2026-05-21T02:15:42.369829+00:00
1123.0,0.0,0.0,0.0,127.0,1533.420720147,19,2026-05-21T02:15:42.381656+00:00
1185.0,0.0,0.0,0.0,127.0,1533.433152855,20,2026-05-21T02:15:42.394091+00:00
1247.0,0.0,0.0,0.0,127.0,1533.445434285,21,2026-05-21T02:15:42.406359+00:00
1309.0,0.0,0.0,0.0,127.0,1533.45678334,22,2026-05-21T02:15:42.417723+00:00
1370.0,0.0,0.0,0.0,127.0,1533.467860039,23,2026-05-21T02:15:42.428801+00:00
1431.0,0.0,0.0,0.0,127.0,1533.478650114,24,2026-05-21T02:15:42.439598+00:00
1492.0,0.0,0.0,0.0,127.0,1533.489614446,25,2026-05-21T02:15:42.450560+00:00
1553.0,0.0,0.0,0.0,127.0,1533.500609118,26,2026-05-21T02:15:42.461550+00:00
1616.0,0.0,0.0,0.0,127.0,1533.513900228,27,2026-05-21T02:15:42.474838+00:00
1677.0,0.0,0.0,0.0,127.0,1533.525330665,28,2026-05-21T02:15:42.486260+00:00
1740.0,0.0,0.0,0.0,127.0,1533.537825862,29,2026-05-21T02:15:42.498765+00:00
1801.0,0.0,0.0,0.0,127.0,1533.549509793,30,2026-05-21T02:15:42.510459+00:00
1863.0,0.0,0.0,0.0,127.0,1533.560581434,31,2026-05-21T02:15:42.521529+00:00
1924.0,0.0,0.0,0.0,127.0,1533.57191468,32,2026-05-21T02:15:42.532857+00:00
1986.0,0.0,0.0,0.0,127.0,1533.583839469,33,2026-05-21T02:15:42.544777+00:00
2048.0,0.0,0.0,0.0,127.0,1533.596271773,34,2026-05-21T02:15:42.557215+00:00
2110.0,0.0,0.0,0.0,127.0,1533.608028925,35,2026-05-21T02:15:42.568944+00:00
2173.0,0.0,0.0,0.0,127.0,1533.620815784,36,2026-05-21T02:15:42.581755+00:00
2235.0,0.0,0.0,0.0,127.0,1533.633254038,37,2026-05-21T02:15:42.594198+00:00
2297.0,0.0,0.0,0.0,127.0,1533.644732195,38,2026-05-21T02:15:42.605667+00:00
2360.0,0.0,0.0,0.0,127.0,1533.657564906,39,2026-05-21T02:15:42.618504+00:00
2422.0,0.0,0.0,0.0,127.0,1533.670362799,40,2026-05-21T02:15:42.631303+00:00
2485.0,0.0,0.0,0.0,127.0,1533.682656443,41,2026-05-21T02:15:42.643594+00:00
2547.0,0.0,0.0,0.0,127.0,1533.695136583,42,2026-05-21T02:15:42.656081+00:00
2609.0,0.0,0.0,0.0,127.0,1533.706810059,43,2026-05-21T02:15:42.667741+00:00
2671.0,0.0,0.0,0.0,127.0,1533.719099369,44,2026-05-21T02:15:42.680048+00:00
2732.0,0.0,0.0,0.0,127.0,1533.730288847,45,2026-05-21T02:15:42.691208+00:00
2795.0,0.0,0.0,0.0,127.0,1533.742761126,46,2026-05-21T02:15:42.703688+00:00
2857.0,0.0,0.0,0.0,127.0,1533.755146897,47,2026-05-21T02:15:42.716089+00:00
2919.0,0.0,0.0,0.0,127.0,1533.767390256,48,2026-05-21T02:15:42.728310+00:00
2981.0,0.0,0.0,0.0,127.0,1533.779418777,49,2026-05-21T02:15:42.740359+00:00
3043.0,0.0,0.0,0.0,127.0,1533.79120481,50,2026-05-21T02:15:42.752132+00:00
3105.0,0.0,0.0,0.0,127.0,1533.803029319,51,2026-05-21T02:15:42.763981+00:00
3166.0,0.0,0.0,0.0,127.0,1533.813627397,52,2026-05-21T02:15:42.774577+00:00
3226.0,0.0,0.0,0.0,127.0,1533.824328778,53,2026-05-21T02:15:42.785275+00:00
3287.0,0.0,0.0,0.0,127.0,1533.835140053,54,2026-05-21T02:15:42.796088+00:00
3348.0,0.0,0.0,0.0,127.0,1533.845989316,55,2026-05-21T02:15:42.806936+00:00
3409.0,0.0,0.0,0.0,127.0,1533.857323323,56,2026-05-21T02:15:42.818271+00:00
3470.0,0.0,0.0,0.0,127.0,1533.868200245,57,2026-05-21T02:15:42.829148+00:00
3532.0,0.0,0.0,0.0,127.0,1533.879553336,58,2026-05-21T02:15:42.840502+00:00
3592.0,0.0,0.0,0.0,127.0,1533.890323064,59,2026-05-21T02:15:42.851270+00:00
3653.0,0.0,0.0,0.0,127.0,1533.901069862,60,2026-05-21T02:15:42.862015+00:00
3714.0,0.0,0.0,0.0,127.0,1533.911982745,61,2026-05-21T02:15:42.872931+00:00
3775.0,0.0,0.0,0.0,127.0,1533.922894182,62,2026-05-21T02:15:42.883843+00:00
3836.0,0.0,0.0,0.0,127.0,1533.93372792,63,2026-05-21T02:15:42.894677+00:00
3897.0,0.0,0.0,0.0,127.0,1533.944685393,64,2026-05-21T02:15:42.905636+00:00
3958.0,0.0,0.0,0.0,127.0,1533.955511325,65,2026-05-21T02:15:42.916458+00:00
4018.0,0.0,0.0,0.0,127.0,1533.966438571,66,2026-05-21T02:15:42.927387+00:00
4079.0,0.0,0.0,0.0,127.0,1533.977203356,67,2026-05-21T02:15:42.938155+00:00
4140.0,0.0,0.0,0.0,127.0,1533.988047826,68,2026-05-21T02:15:42.949000+00:00
4201.0,0.0,0.0,0.0,127.0,1533.998814073,69,2026-05-21T02:15:42.959765+00:00
4262.0,0.0,0.0,0.0,127.0,1534.009671359,70,2026-05-21T02:15:42.970623+00:00
4323.0,0.0,0.0,0.0,127.0,1534.02050158,71,2026-05-21T02:15:42.981449+00:00
4383.0,0.0,0.0,0.0,127.0,1534.031476003,72,2026-05-21T02:15:42.992426+00:00
4444.0,0.0,0.0,0.0,127.0,1534.042141466,73,2026-05-21T02:15:43.003093+00:00
4505.0,0.0,0.0,0.0,127.0,1534.053012768,74,2026-05-21T02:15:43.013965+00:00
4566.0,0.0,0.0,0.0,127.0,1534.064007576,75,2026-05-21T02:15:43.024949+00:00
