time_ms,target_speed,measured_speed,pwm,motion_flag,host_monotonic,frame_index,host_time
3.0,0.0,0.0,0.0,127.0,707.475609949,1,2026-05-21T02:01:56.436551+00:00
64.0,0.0,0.0,0.0,127.0,707.486674537,2,2026-05-21T02:01:56.447617+00:00
125.0,0.0,0.0,0.0,127.0,707.497480216,3,2026-05-21T02:01:56.458419+00:00
187.0,0.0,0.0,0.0,127.0,707.508741238,4,2026-05-21T02:01:56.469685+00:00
247.0,0.0,0.0,0.0,127.0,707.519706636,5,2026-05-21T02:01:56.480647+00:00
309.0,0.0,0.0,0.0,127.0,707.531012928,6,2026-05-21T02:01:56.491950+00:00
370.0,0.0,0.0,0.0,127.0,707.542567747,7,2026-05-21T02:01:56.503509+00:00
431.0,0.0,0.0,0.0,127.0,707.55340566,8,2026-05-21T02:01:56.514344+00:00
492.0,0.0,0.0,0.0,127.0,707.564678095,9,2026-05-21T02:01:56.525607+00:00
554.0,0.0,0.0,0.0,127.0,707.576559993,10,2026-05-21T02:01:56.537484+00:00
617.0,0.0,0.0,0.0,127.0,707.589099879,11,2026-05-21T02:01:56.550012+00:00
680.0,0.0,0.0,0.0,127.0,707.602301903,12,2026-05-21T02:01:56.563202+00:00
743.0,0.0,0.0,0.0,127.0,707.614857386,13,2026-05-21T02:01:56.575788+00:00
804.0,0.0,0.0,0.0,127.0,707.626590305,14,2026-05-21T02:01:56.587521+00:00
866.0,0.0,0.0,0.0,127.0,707.63857467,15,2026-05-21T02:01:56.599499+00:00
929.0,0.0,0.0,0.0,127.0,707.650949747,16,2026-05-21T02:01:56.611890+00:00
990.0,0.0,0.0,0.0,127.0,707.662318283,17,2026-05-21T02:01:56.623242+00:00
1053.0,0.0,0.0,0.0,127.0,707.674937144,18,2026-05-21T02:01:56.635875+00:00
1115.0,0.0,0.0,0.0,127.0,707.68686685,19,2026-05-21T02:01:56.647808+00:00
1177.0,0.0,0.0,0.0,127.0,707.698885922,20,2026-05-21T02:01:56.659814+00:00
1240.0,0.0,0.0,0.0,127.0,707.711827343,21,2026-05-21T02:01:56.672767+00:00
1302.0,0.0,0.0,0.0,127.0,707.723860746,22,2026-05-21T02:01:56.684798+00:00
1364.0,0.0,0.0,0.0,127.0,707.736217318,23,2026-05-21T02:01:56.697159+00:00
1426.0,0.0,0.0,0.0,127.0,707.748102836,24,2026-05-21T02:01:56.709038+00:00
1488.0,0.0,0.0,0.0,127.0,707.76019426,25,2026-05-21T02:01:56.721124+00:00
1551.0,0.0,0.0,0.0,127.0,707.772798017,26,2026-05-21T02:01:56.733737+00:00
1612.0,0.0,0.0,0.0,127.0,707.784759048,27,2026-05-21T02:01:56.745691+00:00
1675.0,0.0,0.0,0.0,127.0,707.79716789,28,2026-05-21T02:01:56.758101+00:00
1737.0,0.0,0.0,0.0,127.0,707.809682962,29,2026-05-21T02:01:56.770615+00:00
1799.0,0.0,0.0,0.0,127.0,707.821526102,30,2026-05-21T02:01:56.782477+00:00
1860.0,0.0,0.0,0.0,127.0,707.832126855,31,2026-05-21T02:01:56.793076+00:00
1921.0,0.0,0.0,0.0,127.0,707.843488887,32,2026-05-21T02:01:56.804436+00:00
