time_ms,target_speed,measured_speed,pwm,motion_flag,host_monotonic,frame_index,host_time
548391.0,0.0,0.0,0.0,0.0,42378.093890769,8675,2026-05-20T14:17:43.032227+00:00
548452.0,0.0,0.0,0.0,0.0,42378.105019619,8676,2026-05-20T14:17:43.043351+00:00
548513.0,0.0,0.0,0.0,0.0,42378.116401853,8677,2026-05-20T14:17:43.054728+00:00
548575.0,0.0,0.0,0.0,0.0,42378.127815608,8678,2026-05-20T14:17:43.066150+00:00
548636.0,0.0,0.0,0.0,0.0,42378.139137286,8679,2026-05-20T14:17:43.077474+00:00
548697.0,0.0,0.0,0.0,0.0,42378.150367315,8680,2026-05-20T14:17:43.088704+00:00
548758.0,0.0,0.0,0.0,0.0,42378.161465993,8681,2026-05-20T14:17:43.099803+00:00
548820.0,0.0,0.0,0.0,0.0,42378.17263939,8682,2026-05-20T14:17:43.110974+00:00
548881.0,0.0,0.0,0.0,0.0,42378.18444906,8683,2026-05-20T14:17:43.122781+00:00
548943.0,0.0,0.0,0.0,0.0,42378.195800188,8684,2026-05-20T14:17:43.134136+00:00
549004.0,0.0,0.0,0.0,0.0,42378.206916711,8685,2026-05-20T14:17:43.145252+00:00
549065.0,0.0,0.0,0.0,0.0,42378.218258095,8686,2026-05-20T14:17:43.156593+00:00
549126.0,500.0,125.0,250.0,1.0,42378.229246029,8687,2026-05-20T14:17:43.167583+00:00
549187.0,500.0,218.0,250.0,1.0,42378.240087637,8688,2026-05-20T14:17:43.178422+00:00
549248.0,500.0,289.0,250.0,1.0,42378.251144852,8689,2026-05-20T14:17:43.189478+00:00
549309.0,500.0,341.0,250.0,1.0,42378.262252537,8690,2026-05-20T14:17:43.200589+00:00
549370.0,500.0,381.0,250.0,1.0,42378.273201872,8691,2026-05-20T14:17:43.211542+00:00
549431.0,500.0,411.0,250.0,1.0,42378.284011754,8692,2026-05-20T14:17:43.222354+00:00
549492.0,500.0,433.0,250.0,1.0,42378.294995958,8693,2026-05-20T14:17:43.233337+00:00
549553.0,500.0,449.0,250.0,1.0,42378.306073635,8694,2026-05-20T14:17:43.244412+00:00
549614.0,500.0,462.0,250.0,1.0,42378.317415328,8695,2026-05-20T14:17:43.255754+00:00
549675.0,500.0,471.0,250.0,1.0,42378.328427143,8696,2026-05-20T14:17:43.266765+00:00
549736.0,500.0,478.0,250.0,1.0,42378.339211736,8697,2026-05-20T14:17:43.277548+00:00
549798.0,500.0,484.0,250.0,1.0,42378.350837623,8698,2026-05-20T14:17:43.289176+00:00
549859.0,500.0,488.0,250.0,1.0,42378.361751121,8699,2026-05-20T14:17:43.300088+00:00
549920.0,500.0,491.0,250.0,1.0,42378.373262037,8700,2026-05-20T14:17:43.311595+00:00
549981.0,500.0,493.0,250.0,1.0,42378.384421709,8701,2026-05-20T14:17:43.322760+00:00
