time_ms,target_speed,measured_speed,pwm,motion_flag,host_monotonic,frame_index,host_time
280816.0,800.0,675.0,730.0,1.0,925.539877587,4544,2026-05-21T02:05:34.500827+00:00
280877.0,800.0,704.0,669.0,1.0,925.550498886,4545,2026-05-21T02:05:34.511447+00:00
280938.0,800.0,724.0,613.0,1.0,925.561173132,4546,2026-05-21T02:05:34.522114+00:00
280998.0,800.0,730.0,577.0,1.0,925.571820943,4547,2026-05-21T02:05:34.532764+00:00
281059.0,800.0,721.0,569.0,1.0,925.582548913,4548,2026-05-21T02:05:34.543491+00:00
281120.0,800.0,700.0,593.0,1.0,925.593275656,4549,2026-05-21T02:05:34.554223+00:00
281181.0,800.0,674.0,639.0,1.0,925.604046277,4550,2026-05-21T02:05:34.564982+00:00
281242.0,800.0,650.0,696.0,1.0,925.61495437,4551,2026-05-21T02:05:34.575899+00:00
281302.0,800.0,636.0,746.0,1.0,925.625738482,4552,2026-05-21T02:05:34.586688+00:00
281363.0,800.0,634.0,778.0,1.0,925.636621658,4553,2026-05-21T02:05:34.597570+00:00
281424.0,800.0,646.0,783.0,1.0,925.647439561,4554,2026-05-21T02:05:34.608388+00:00
281485.0,800.0,667.0,761.0,1.0,925.658191234,4555,2026-05-21T02:05:34.619141+00:00
281546.0,800.0,693.0,719.0,1.0,925.668932644,4556,2026-05-21T02:05:34.629882+00:00
281606.0,800.0,715.0,670.0,1.0,925.679565858,4557,2026-05-21T02:05:34.640514+00:00
281667.0,800.0,729.0,627.0,1.0,925.690567846,4558,2026-05-21T02:05:34.651516+00:00
281728.0,800.0,730.0,604.0,1.0,925.701168573,4559,2026-05-21T02:05:34.662118+00:00
281788.0,800.0,720.0,604.0,1.0,925.711908356,4560,2026-05-21T02:05:34.672858+00:00
281849.0,800.0,702.0,629.0,1.0,925.722746257,4561,2026-05-21T02:05:34.683696+00:00
281910.0,800.0,681.0,670.0,1.0,925.733649501,4562,2026-05-21T02:05:34.694599+00:00
281971.0,800.0,663.0,716.0,1.0,925.744170785,4563,2026-05-21T02:05:34.705120+00:00
