time_ms,target_speed,measured_speed,pwm,motion_flag,host_monotonic,frame_index,host_time
41917.0,800.0,800.0,400.0,1.0,42272.120583493,665,2026-05-20T14:15:57.058916+00:00
41978.0,800.0,800.0,400.0,1.0,42272.131589814,666,2026-05-20T14:15:57.069921+00:00
42039.0,800.0,800.0,400.0,1.0,42272.142611629,667,2026-05-20T14:15:57.080945+00:00
42100.0,800.0,800.0,400.0,1.0,42272.153532539,668,2026-05-20T14:15:57.091864+00:00
42162.0,800.0,800.0,400.0,1.0,42272.164709177,669,2026-05-20T14:15:57.103046+00:00
42223.0,800.0,800.0,400.0,1.0,42272.175703574,670,2026-05-20T14:15:57.114039+00:00
42284.0,800.0,800.0,400.0,1.0,42272.186704997,671,2026-05-20T14:15:57.125038+00:00
42345.0,800.0,800.0,400.0,1.0,42272.197693098,672,2026-05-20T14:15:57.136029+00:00
42406.0,800.0,800.0,400.0,1.0,42272.208734933,673,2026-05-20T14:15:57.147071+00:00
42467.0,800.0,799.0,400.0,1.0,42272.219806493,674,2026-05-20T14:15:57.158143+00:00
42528.0,800.0,799.0,400.0,1.0,42272.231506946,675,2026-05-20T14:15:57.169840+00:00
42590.0,800.0,799.0,400.0,1.0,42272.242941084,676,2026-05-20T14:15:57.181276+00:00
42652.0,800.0,799.0,400.0,1.0,42272.255465068,677,2026-05-20T14:15:57.193802+00:00
42713.0,800.0,799.0,400.0,1.0,42272.266338489,678,2026-05-20T14:15:57.204678+00:00
42774.0,800.0,799.0,400.0,1.0,42272.277326335,679,2026-05-20T14:15:57.215659+00:00
42836.0,800.0,799.0,400.0,1.0,42272.288848039,680,2026-05-20T14:15:57.227167+00:00
42898.0,800.0,799.0,400.0,1.0,42272.301210911,681,2026-05-20T14:15:57.239541+00:00
42961.0,800.0,799.0,400.0,1.0,42272.313953118,682,2026-05-20T14:15:57.252261+00:00
43024.0,800.0,799.0,400.0,1.0,42272.32702825,683,2026-05-20T14:15:57.265340+00:00
43086.0,800.0,799.0,400.0,1.0,42272.339635421,684,2026-05-20T14:15:57.277968+00:00
43149.0,800.0,799.0,400.0,1.0,42272.352210729,685,2026-05-20T14:15:57.290513+00:00
43213.0,800.0,799.0,400.0,1.0,42272.365726348,686,2026-05-20T14:15:57.304045+00:00
43276.0,800.0,799.0,400.0,1.0,42272.378904511,687,2026-05-20T14:15:57.317228+00:00
43339.0,800.0,800.0,400.0,1.0,42272.392611842,688,2026-05-20T14:15:57.330937+00:00
43403.0,800.0,800.0,400.0,1.0,42272.406455253,689,2026-05-20T14:15:57.344783+00:00
43465.0,800.0,800.0,400.0,1.0,42272.418509057,690,2026-05-20T14:15:57.356835+00:00
43528.0,800.0,800.0,400.0,1.0,42272.431346865,691,2026-05-20T14:15:57.369672+00:00
43592.0,800.0,800.0,400.0,1.0,42272.444779748,692,2026-05-20T14:15:57.383088+00:00
43655.0,800.0,800.0,400.0,1.0,42272.458150295,693,2026-05-20T14:15:57.396476+00:00
43717.0,800.0,799.0,400.0,1.0,42272.47027863,694,2026-05-20T14:15:57.408607+00:00
43780.0,800.0,799.0,400.0,1.0,42272.483099932,695,2026-05-20T14:15:57.421418+00:00
43844.0,800.0,800.0,400.0,1.0,42272.496976714,696,2026-05-20T14:15:57.435295+00:00
43906.0,800.0,799.0,400.0,1.0,42272.509644981,697,2026-05-20T14:15:57.447967+00:00
43972.0,800.0,800.0,400.0,1.0,42272.52494394,698,2026-05-20T14:15:57.463239+00:00
44038.0,800.0,799.0,400.0,1.0,42272.540989766,699,2026-05-20T14:15:57.479290+00:00
44103.0,800.0,800.0,400.0,1.0,42272.556107131,700,2026-05-20T14:15:57.494400+00:00
44168.0,800.0,799.0,400.0,1.0,42272.571358026,701,2026-05-20T14:15:57.509663+00:00
44233.0,800.0,799.0,400.0,1.0,42272.586021641,702,2026-05-20T14:15:57.524330+00:00
44298.0,800.0,799.0,400.0,1.0,42272.601080985,703,2026-05-20T14:15:57.539393+00:00
44363.0,800.0,799.0,400.0,1.0,42272.616593669,704,2026-05-20T14:15:57.554918+00:00
44425.0,800.0,799.0,400.0,1.0,42272.628701323,705,2026-05-20T14:15:57.567012+00:00
44489.0,800.0,799.0,400.0,1.0,42272.642341469,706,2026-05-20T14:15:57.580646+00:00
44552.0,800.0,799.0,400.0,1.0,42272.6549682,707,2026-05-20T14:15:57.593274+00:00
44616.0,800.0,800.0,400.0,1.0,42272.669363203,708,2026-05-20T14:15:57.607683+00:00
44680.0,800.0,800.0,400.0,1.0,42272.683069551,709,2026-05-20T14:15:57.621337+00:00
44745.0,800.0,800.0,400.0,1.0,42272.698206031,710,2026-05-20T14:15:57.636515+00:00
44809.0,800.0,800.0,400.0,1.0,42272.712469346,711,2026-05-20T14:15:57.650789+00:00
44874.0,800.0,800.0,400.0,1.0,42272.727193178,712,2026-05-20T14:15:57.665508+00:00
44937.0,800.0,800.0,400.0,1.0,42272.740604432,713,2026-05-20T14:15:57.678899+00:00
45002.0,800.0,800.0,400.0,1.0,42272.755321525,714,2026-05-20T14:15:57.693642+00:00
45065.0,800.0,800.0,400.0,1.0,42272.767738718,715,2026-05-20T14:15:57.706059+00:00
45128.0,800.0,800.0,400.0,1.0,42272.780990687,716,2026-05-20T14:15:57.719311+00:00
45192.0,800.0,800.0,400.0,1.0,42272.795135456,717,2026-05-20T14:15:57.733448+00:00
45255.0,800.0,800.0,400.0,1.0,42272.80857577,718,2026-05-20T14:15:57.746889+00:00
45319.0,800.0,799.0,400.0,1.0,42272.821868431,719,2026-05-20T14:15:57.760190+00:00
45382.0,800.0,799.0,400.0,1.0,42272.834770551,720,2026-05-20T14:15:57.773092+00:00
45444.0,800.0,799.0,400.0,1.0,42272.847730608,721,2026-05-20T14:15:57.786043+00:00
45508.0,800.0,800.0,400.0,1.0,42272.861415172,722,2026-05-20T14:15:57.799741+00:00
45572.0,800.0,799.0,400.0,1.0,42272.875431296,723,2026-05-20T14:15:57.813735+00:00
45636.0,800.0,799.0,400.0,1.0,42272.88912921,724,2026-05-20T14:15:57.827456+00:00
45699.0,800.0,799.0,400.0,1.0,42272.901964836,725,2026-05-20T14:15:57.840275+00:00
45763.0,800.0,799.0,400.0,1.0,42272.916176344,726,2026-05-20T14:15:57.854500+00:00
45825.0,800.0,799.0,400.0,1.0,42272.92858496,727,2026-05-20T14:15:57.866903+00:00
45889.0,800.0,799.0,400.0,1.0,42272.942428719,728,2026-05-20T14:15:57.880760+00:00
45951.0,800.0,799.0,400.0,1.0,42272.953632136,729,2026-05-20T14:15:57.891967+00:00
46012.0,800.0,800.0,400.0,1.0,42272.964879871,730,2026-05-20T14:15:57.903213+00:00
46073.0,800.0,799.0,400.0,1.0,42272.976155168,731,2026-05-20T14:15:57.914476+00:00
46135.0,800.0,799.0,400.0,1.0,42272.988242535,732,2026-05-20T14:15:57.926571+00:00
46197.0,800.0,800.0,400.0,1.0,42273.000589965,733,2026-05-20T14:15:57.938913+00:00
46260.0,800.0,799.0,400.0,1.0,42273.013500343,734,2026-05-20T14:15:57.951828+00:00
46323.0,800.0,799.0,400.0,1.0,42273.026035875,735,2026-05-20T14:15:57.964329+00:00
46386.0,800.0,799.0,400.0,1.0,42273.039178971,736,2026-05-20T14:15:57.977487+00:00
