time_ms,target_speed,measured_speed,pwm,motion_flag,host_monotonic,frame_index,host_time
3.0,0.0,0.0,0.0,127.0,45992.532370545,1,2026-05-20T15:17:57.470700+00:00
65.0,0.0,0.0,0.0,127.0,45992.544410834,2,2026-05-20T15:17:57.482749+00:00
126.0,0.0,0.0,0.0,127.0,45992.55567996,3,2026-05-20T15:17:57.494009+00:00
189.0,0.0,0.0,0.0,127.0,45992.56851544,4,2026-05-20T15:17:57.506827+00:00
252.0,0.0,0.0,0.0,127.0,45992.581860902,5,2026-05-20T15:17:57.520187+00:00
314.0,0.0,0.0,0.0,127.0,45992.593921504,6,2026-05-20T15:17:57.532242+00:00
378.0,0.0,0.0,0.0,127.0,45992.607814858,7,2026-05-20T15:17:57.546130+00:00
441.0,0.0,0.0,0.0,127.0,45992.620806116,8,2026-05-20T15:17:57.559110+00:00
505.0,0.0,0.0,0.0,127.0,45992.634535908,9,2026-05-20T15:17:57.572858+00:00
567.0,0.0,0.0,0.0,127.0,45992.646529839,10,2026-05-20T15:17:57.584840+00:00
629.0,0.0,0.0,0.0,127.0,45992.658828493,11,2026-05-20T15:17:57.597131+00:00
694.0,0.0,0.0,0.0,127.0,45992.673412303,12,2026-05-20T15:17:57.611698+00:00
759.0,0.0,0.0,0.0,127.0,45992.688028442,13,2026-05-20T15:17:57.626355+00:00
820.0,0.0,0.0,0.0,127.0,45992.699764689,14,2026-05-20T15:17:57.638083+00:00
883.0,0.0,0.0,0.0,127.0,45992.712132396,15,2026-05-20T15:17:57.650445+00:00
946.0,0.0,0.0,0.0,127.0,45992.725359942,16,2026-05-20T15:17:57.663676+00:00
1009.0,0.0,0.0,0.0,127.0,45992.738203163,17,2026-05-20T15:17:57.676523+00:00
1071.0,0.0,0.0,0.0,127.0,45992.750795318,18,2026-05-20T15:17:57.689121+00:00
1134.0,0.0,0.0,0.0,127.0,45992.763091192,19,2026-05-20T15:17:57.701419+00:00
1197.0,0.0,0.0,0.0,127.0,45992.776404636,20,2026-05-20T15:17:57.714720+00:00
1259.0,0.0,0.0,0.0,127.0,45992.788636294,21,2026-05-20T15:17:57.726966+00:00
1320.0,0.0,0.0,0.0,127.0,45992.799889025,22,2026-05-20T15:17:57.738211+00:00
1382.0,0.0,0.0,0.0,127.0,45992.811826918,23,2026-05-20T15:17:57.750125+00:00
1446.0,0.0,0.0,0.0,127.0,45992.825440209,24,2026-05-20T15:17:57.763745+00:00
1509.0,0.0,0.0,0.0,127.0,45992.838198329,25,2026-05-20T15:17:57.776506+00:00
1571.0,0.0,0.0,0.0,127.0,45992.850877169,26,2026-05-20T15:17:57.789192+00:00
1634.0,0.0,0.0,0.0,127.0,45992.863398411,27,2026-05-20T15:17:57.801716+00:00
1696.0,0.0,0.0,0.0,127.0,45992.875811126,28,2026-05-20T15:17:57.814131+00:00
1760.0,0.0,0.0,0.0,127.0,45992.889682985,29,2026-05-20T15:17:57.828009+00:00
1822.0,0.0,0.0,0.0,127.0,45992.901756125,30,2026-05-20T15:17:57.840065+00:00
1885.0,0.0,0.0,0.0,127.0,45992.914641276,31,2026-05-20T15:17:57.852965+00:00
