time_ms,target_speed,measured_speed,pwm,motion_flag,host_monotonic,frame_index,host_time
117904.0,300.0,236.0,316.0,1.0,894.427342623,1908,2026-05-21T02:05:03.388290+00:00
117965.0,300.0,251.0,297.0,1.0,894.437979493,1909,2026-05-21T02:05:03.398924+00:00
118026.0,300.0,266.0,269.0,1.0,894.449099128,1910,2026-05-21T02:05:03.410041+00:00
118087.0,300.0,279.0,238.0,1.0,894.46021749,1911,2026-05-21T02:05:03.421158+00:00
118148.0,300.0,285.0,214.0,1.0,894.471688092,1912,2026-05-21T02:05:03.432630+00:00
118209.0,300.0,284.0,204.0,1.0,894.482631858,1913,2026-05-21T02:05:03.443568+00:00
118270.0,300.0,275.0,209.0,1.0,894.493851821,1914,2026-05-21T02:05:03.454792+00:00
118331.0,300.0,263.0,227.0,1.0,894.504618576,1915,2026-05-21T02:05:03.465568+00:00
118392.0,300.0,250.0,254.0,1.0,894.515254527,1916,2026-05-21T02:05:03.476203+00:00
118453.0,300.0,240.0,282.0,1.0,894.526128848,1917,2026-05-21T02:05:03.487075+00:00
118514.0,300.0,235.0,303.0,1.0,894.536969657,1918,2026-05-21T02:05:03.497919+00:00
118575.0,300.0,238.0,311.0,1.0,894.548243375,1919,2026-05-21T02:05:03.509188+00:00
118636.0,300.0,247.0,306.0,1.0,894.559430519,1920,2026-05-21T02:05:03.520376+00:00
118697.0,300.0,259.0,288.0,1.0,894.570219671,1921,2026-05-21T02:05:03.531168+00:00
118758.0,300.0,272.0,264.0,1.0,894.5809756,1922,2026-05-21T02:05:03.541924+00:00
118819.0,300.0,281.0,240.0,1.0,894.592225091,1923,2026-05-21T02:05:03.553173+00:00
118880.0,300.0,284.0,223.0,1.0,894.603250814,1924,2026-05-21T02:05:03.564200+00:00
118940.0,300.0,281.0,218.0,1.0,894.613915308,1925,2026-05-21T02:05:03.574864+00:00
119001.0,300.0,273.0,225.0,1.0,894.62485221,1926,2026-05-21T02:05:03.585798+00:00
119063.0,300.0,263.0,242.0,1.0,894.636076568,1927,2026-05-21T02:05:03.597025+00:00
119124.0,300.0,253.0,265.0,1.0,894.647244247,1928,2026-05-21T02:05:03.608189+00:00
119185.0,300.0,246.0,286.0,1.0,894.658372401,1929,2026-05-21T02:05:03.619313+00:00
119246.0,300.0,244.0,301.0,1.0,894.669178617,1930,2026-05-21T02:05:03.630121+00:00
119307.0,300.0,248.0,305.0,1.0,894.680116201,1931,2026-05-21T02:05:03.641066+00:00
119367.0,300.0,256.0,298.0,1.0,894.690796963,1932,2026-05-21T02:05:03.651747+00:00
119428.0,300.0,266.0,282.0,1.0,894.70157994,1933,2026-05-21T02:05:03.662531+00:00
119489.0,300.0,275.0,262.0,1.0,894.71240225,1934,2026-05-21T02:05:03.673348+00:00
119550.0,300.0,282.0,244.0,1.0,894.72382217,1935,2026-05-21T02:05:03.684767+00:00
119612.0,300.0,283.0,232.0,1.0,894.735338083,1936,2026-05-21T02:05:03.696283+00:00
119673.0,300.0,280.0,231.0,1.0,894.74612828,1937,2026-05-21T02:05:03.707075+00:00
119733.0,300.0,273.0,239.0,1.0,894.756835664,1938,2026-05-21T02:05:03.717783+00:00
119794.0,300.0,264.0,254.0,1.0,894.767802112,1939,2026-05-21T02:05:03.728748+00:00
119856.0,300.0,256.0,273.0,1.0,894.778956775,1940,2026-05-21T02:05:03.739905+00:00
119916.0,300.0,252.0,289.0,1.0,894.789596887,1941,2026-05-21T02:05:03.750544+00:00
