time_ms,target_speed,measured_speed,pwm,motion_flag,host_monotonic,frame_index,host_time
579433.0,800.0,787.0,338.0,1.0,983.606765652,9355,2026-05-21T02:06:32.567711+00:00
579494.0,800.0,730.0,397.0,1.0,983.617722564,9356,2026-05-21T02:06:32.578658+00:00
579555.0,800.0,654.0,539.0,1.0,983.628923542,9357,2026-05-21T02:06:32.589860+00:00
579617.0,800.0,585.0,720.0,1.0,983.640140837,9358,2026-05-21T02:06:32.601086+00:00
579678.0,800.0,541.0,885.0,1.0,983.651793864,9359,2026-05-21T02:06:32.612736+00:00
579740.0,800.0,538.0,986.0,1.0,983.663330169,9360,2026-05-21T02:06:32.624272+00:00
579801.0,800.0,576.0,993.0,1.0,983.674346241,9361,2026-05-21T02:06:32.635287+00:00
579862.0,800.0,643.0,904.0,1.0,983.685098542,9362,2026-05-21T02:06:32.646048+00:00
579923.0,800.0,720.0,747.0,1.0,983.696054569,9363,2026-05-21T02:06:32.657005+00:00
579984.0,800.0,783.0,571.0,1.0,983.706942562,9364,2026-05-21T02:06:32.667894+00:00
580044.0,800.0,814.0,429.0,1.0,983.717785546,9365,2026-05-21T02:06:32.678736+00:00
580105.0,800.0,803.0,365.0,1.0,983.728635458,9366,2026-05-21T02:06:32.689587+00:00
580166.0,800.0,756.0,397.0,1.0,983.739448127,9367,2026-05-21T02:06:32.700394+00:00
580227.0,800.0,686.0,515.0,1.0,983.750185069,9368,2026-05-21T02:06:32.711132+00:00
580288.0,800.0,615.0,683.0,1.0,983.761035333,9369,2026-05-21T02:06:32.721984+00:00
580349.0,800.0,566.0,851.0,1.0,983.772081075,9370,2026-05-21T02:06:32.733028+00:00
580410.0,800.0,552.0,968.0,1.0,983.783226762,9371,2026-05-21T02:06:32.744176+00:00
580471.0,800.0,579.0,999.0,1.0,983.794369098,9372,2026-05-21T02:06:32.755317+00:00
580532.0,800.0,638.0,935.0,1.0,983.804913076,9373,2026-05-21T02:06:32.765862+00:00
580593.0,800.0,711.0,798.0,1.0,983.816117636,9374,2026-05-21T02:06:32.777066+00:00
580654.0,800.0,777.0,629.0,1.0,983.827247298,9375,2026-05-21T02:06:32.788195+00:00
580715.0,800.0,815.0,480.0,1.0,983.838004953,9376,2026-05-21T02:06:32.798952+00:00
580775.0,800.0,815.0,396.0,1.0,983.848873042,9377,2026-05-21T02:06:32.809824+00:00
580836.0,800.0,778.0,402.0,1.0,983.859802097,9378,2026-05-21T02:06:32.820747+00:00
580897.0,800.0,714.0,497.0,1.0,983.870805936,9379,2026-05-21T02:06:32.831757+00:00
580958.0,800.0,645.0,650.0,1.0,983.881557399,9380,2026-05-21T02:06:32.842507+00:00
581019.0,800.0,590.0,816.0,1.0,983.892345796,9381,2026-05-21T02:06:32.853297+00:00
581080.0,800.0,567.0,944.0,1.0,983.90320188,9382,2026-05-21T02:06:32.864148+00:00
581141.0,800.0,583.0,997.0,1.0,983.913980724,9383,2026-05-21T02:06:32.874931+00:00
581201.0,800.0,633.0,958.0,1.0,983.924795025,9384,2026-05-21T02:06:32.885746+00:00
581262.0,800.0,702.0,842.0,1.0,983.935475025,9385,2026-05-21T02:06:32.896426+00:00
581323.0,800.0,769.0,683.0,1.0,983.946575669,9386,2026-05-21T02:06:32.907522+00:00
581384.0,800.0,814.0,530.0,1.0,983.957119039,9387,2026-05-21T02:06:32.918068+00:00
581445.0,800.0,824.0,431.0,1.0,983.968204621,9388,2026-05-21T02:06:32.929153+00:00
581506.0,800.0,796.0,414.0,1.0,983.979069588,9389,2026-05-21T02:06:32.940019+00:00
581567.0,800.0,740.0,484.0,1.0,983.990196087,9390,2026-05-21T02:06:32.951142+00:00
581628.0,800.0,673.0,621.0,1.0,984.001286268,9391,2026-05-21T02:06:32.962235+00:00
581689.0,800.0,615.0,781.0,1.0,984.012024253,9392,2026-05-21T02:06:32.972969+00:00
581750.0,800.0,584.0,918.0,1.0,984.023007353,9393,2026-05-21T02:06:32.983950+00:00
581811.0,800.0,590.0,989.0,1.0,984.034286506,9394,2026-05-21T02:06:32.995230+00:00
